Accession,GenBank_RefSeq,Assembly,Organism_Name,Species,Isolate,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Collection_Date,Release_Date
ON901785,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,NA,12155,complete,China,NA,Bos taurus,blood,"Zhu,J., Wang,C., Zhang,L., Zhu,T., Li,H., Wang,Y., Xue,K., Qi,M., Peng,Q., Chen,Y., Hu,C., Chen,X., Chen,J., Chen,H., Guo,A., Tan,K.","Huazhong Agricultural University, College of Veterinary Medicine",China,2018-03,2023-01-24
OM817560,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-A-42,12221,complete,"Peru: Arequipa, Cerro Colorado",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OM817561,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-P-19,12143,complete,"Peru: Puno, Tampopata",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OM817562,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-An-5,12220,complete,"Peru: Ancash, Huaraz",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OM817563,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-L-2,12224,complete,"Peru: Lima, Villa El Salvador",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OM817564,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-L-20,12226,complete,"Peru: Lima, Cajamarquilla",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OM817565,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-L-24,12224,complete,"Peru: Lima, Lurin",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OM817566,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-L-39,12221,complete,"Peru: Lima, Huachipa",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OM817567,GenBank,NA,Classical swine fever virus,Pestivirus suis,Peru-L-8,12221,complete,"Peru: Lima, Villa El Salvador",NA,Sus scrofa domesticus,NA,"Arainga,M., Hisanaga,T., Hills,K., Handel,K., Rivera,H., Pasick,J., Perez,O., Lamboo,L., Erdelyan,C., Ambagala,A.","Canadian Food Inspection Agency, National Centre for Foreign Animal Diseases",Canada,2008,2023-01-23
OL963692,GenBank,NA,Classical swine fever virus,Pestivirus suis,1980s_Cucuta_CO,12154,partial,"Colombia: Cucuta, Norte De Santander",NA,Sus scrofa,NA,"Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,1980,2023-01-17
OL963693,GenBank,NA,Classical swine fever virus,Pestivirus suis,2013_Chiriguana_CO,12159,partial,"Colombia: Chiriguana, Cesar",NA,Sus scrofa,lymph,"Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,2013,2023-01-17
OL963694,GenBank,NA,Classical swine fever virus,Pestivirus suis,2014_El_Paso_CO,11888,partial,"Colombia: El-Paso, Cesar",NA,Sus scrofa,blood,"Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,2014,2023-01-17
OL963695,GenBank,NA,Classical swine fever virus,Pestivirus suis,2015_Morales_Bolivar_CO,12156,partial,"Colombia: Morales, Bolivar",NA,Sus scrofa,tonsil,"Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,2015,2023-01-17
OL963696,GenBank,NA,Classical swine fever virus,Pestivirus suis,2016_Pinillos_CO,11978,partial,"Colombia: Pinillos, Bolivar",NA,Sus scrofa,blood,"Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,2016,2023-01-17
OL963697,GenBank,NA,Classical swine fever virus,Pestivirus suis,2016_Santa_Ana_CO,12227,partial,"Colombia: Santa-Ana, Magdalena",NA,Sus scrofa,"spleen, abdominal cavity","Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,2016,2023-01-17
OL963698,GenBank,NA,Classical swine fever virus,Pestivirus suis,2017_Galeras_CO,11921,partial,"Colombia: Galeras, Sucre",NA,Sus scrofa,lymph,"Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,2017,2023-01-17
OL963699,GenBank,NA,Classical swine fever virus,Pestivirus suis,2017_Polonuevo_CO,12148,partial,"Colombia: Polonuevo, Atlantico",NA,Sus scrofa,lymph,"Lamboo,L., Ambagala,A., Perez,O., Lung,O., Clavijo,A., Zuleta,U., Campos,N.","Canadian Food Inspection Agency, Mammalian Diseases Unit",Canada,2017,2023-01-17
OL603844,GenBank,NA,atypical porcine pestivirus,Pestivirus scrofae,NA,10989,complete,China,NA,Sus scrofa,NA,"Hou,Z., Liu,W., Cao,N., Xu,D., Tian,Y., Huang,Y., Fu,X.","Zhongkai University of Agriculture and Engineering, College of Animal Science & Technology",China,2018-03,2023-01-15
OL603845,GenBank,NA,atypical porcine pestivirus,Pestivirus scrofae,NA,10989,complete,China,NA,Sus scrofa,NA,"Hou,Z., Liu,W., Cao,N., Xu,D., Tian,Y., Huang,Y., Fu,X.","Zhongkai University of Agriculture and Engineering, College of Animal Science & Technology",China,2017-05,2023-01-15
OL603846,GenBank,NA,atypical porcine pestivirus,Pestivirus scrofae,NA,10989,complete,China,NA,Sus scrofa,NA,"Hou,Z., Liu,W., Cao,N., Xu,D., Tian,Y., Huang,Y., Fu,X.","Zhongkai University of Agriculture and Engineering, College of Animal Science & Technology",China,2018-04,2023-01-15
LC727644,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Tokachi-8,12117,complete,Japan:Hokkaido,NA,Bos taurus,NA,"Dong,H.V., Suzuki,M., Takemae,H., Jamsransuren,D., Matsuda,S., Nguyen,H.D., Mizutani,T., Takeda,Y., Ogawa,H.","Department of Veterinary Medicine; 2-11 Inada, Obihiro, Hokkaido 080-8555",Japan,2016-08-02,2023-01-05
LC727645,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Tokachi-13,12182,complete,Japan:Hokkaido,NA,Bos taurus,NA,"Dong,H.V., Suzuki,M., Takemae,H., Jamsransuren,D., Matsuda,S., Nguyen,H.D., Mizutani,T., Takeda,Y., Ogawa,H.","Department of Veterinary Medicine; 2-11 Inada, Obihiro, Hokkaido 080-8555",Japan,2016-12-06,2023-01-05
LC727646,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Tokachi-15,12168,complete,Japan:Hokkaido,NA,Bos taurus,NA,"Dong,H.V., Suzuki,M., Takemae,H., Jamsransuren,D., Matsuda,S., Nguyen,H.D., Mizutani,T., Takeda,Y., Ogawa,H.","Department of Veterinary Medicine; 2-11 Inada, Obihiro, Hokkaido 080-8555",Japan,2016-10-05,2023-01-05
LC727647,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Tokachi-22,12234,complete,Japan:Hokkaido,NA,Bos taurus,NA,"Dong,H.V., Suzuki,M., Takemae,H., Jamsransuren,D., Matsuda,S., Nguyen,H.D., Mizutani,T., Takeda,Y., Ogawa,H.","Department of Veterinary Medicine; 2-11 Inada, Obihiro, Hokkaido 080-8555",Japan,2016-09-27,2023-01-05
LC727648,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,Tokachi-27,12183,complete,Japan:Hokkaido,NA,Bos taurus,NA,"Dong,H.V., Suzuki,M., Takemae,H., Jamsransuren,D., Matsuda,S., Nguyen,H.D., Mizutani,T., Takeda,Y., Ogawa,H.","Department of Veterinary Medicine; 2-11 Inada, Obihiro, Hokkaido 080-8555",Japan,2016-07-25,2023-01-05
LC727649,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,Tokachi-47,12260,complete,Japan:Hokkaido,NA,Bos taurus,NA,"Dong,H.V., Suzuki,M., Takemae,H., Jamsransuren,D., Matsuda,S., Nguyen,H.D., Mizutani,T., Takeda,Y., Ogawa,H.","Department of Veterinary Medicine; 2-11 Inada, Obihiro, Hokkaido 080-8555",Japan,2017-03-24,2023-01-05
LC727650,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,Tokachi-31,12174,complete,Japan:Hokkaido,NA,Bos taurus,NA,"Dong,H.V., Suzuki,M., Takemae,H., Jamsransuren,D., Matsuda,S., Nguyen,H.D., Mizutani,T., Takeda,Y., Ogawa,H.","Department of Veterinary Medicine; 2-11 Inada, Obihiro, Hokkaido 080-8555",Japan,2016-05-24,2023-01-05
OP792028,GenBank,NA,Bovine viral diarrhea virus 2,Pestivirus tauri,NA,12233,complete,China,NA,Bos taurus,NA,"Chai,C.X., Zhang,F., Yin,H., Diao,Y., Zhou,Y.Y., Zhang,J.L., Niu,R., Wang,W.","Inner Mongolia University, State Key Laboratory of Reproductive Regulation and Breeding of Grassland Livestock",China,2021,2022-12-26
OX394178,GenBank,NA,Glass knifefish pestivirus,Glass knifefish pestivirus,NA,14199,partial,NA,NA,Eigenmannia virescens,NA,"Jonathon,C.O.Mifsud., Vincenzo,A.Costa., Mary,E.Petrone., Ezequiel,M.Marzinelli., Edward,C.Holmes., Erin,Harvey.","Sydney Institute for Infectious Diseases, School of Medical Sciences, The University of Sydney, Sydney, NSW, 2006",Australia,NA,2022-12-22
OX394182,GenBank,NA,Frog pestivirus,Frog pestivirus,NA,15155,partial,NA,NA,Anura,NA,"Jonathon,C.O.Mifsud., Vincenzo,A.Costa., Mary,E.Petrone., Ezequiel,M.Marzinelli., Edward,C.Holmes., Erin,Harvey.","Sydney Institute for Infectious Diseases, School of Medical Sciences, The University of Sydney, Sydney, NSW, 2006",Australia,NA,2022-12-22
OM925903,GenBank,NA,Classical swine fever virus,Pestivirus suis,NA,12295,complete,China,NA,Sus scrofa,NA,"Fan,J., Chen,J.","South China Agricultural University, College of Veterinary Medicine",China,2020,2022-12-20
OP210314,GenBank,NA,Bovine viral diarrhea virus 3,Pestivirus brazilense,NA,12239,complete,China,NA,Bos taurus,feces,"Yang,N.N., Chen,C.C., Sheng,J.L., Xu,M.G.","Shihezi University, College of Animal Science and Technology",China,2022,2022-10-09
OP474161,GenBank,NA,Pangolin pestivirus T7,Pangolin pestivirus T7,T7,12478,partial,China: Beijing,NA,Manis javanica,NA,"Tian,F., Li,J., Liu,W., Liu,Y., Hu,Y., Tu,Q., Li,Y., Bai,Y., Shi,M., Que,T., Tong,Y.","Beijing University of Chemical Technology, College of Life Science and Technology",China,2019,2022-10-09
MW762535,GenBank,NA,Border disease virus,Pestivirus ovis,NY1-19,12234,complete,USA,NA,Ovis aries,NA,"Cardia Caserta,L.","Cornell University, Population Medicine and Diagnostic Sciences",USA,2019,2022-09-25
OL625611,GenBank,NA,atypical porcine pestivirus,Pestivirus scrofae,AH06/2021,11194,partial,China,NA,Sus scrofa,lymph,"Xie,S., Pan,S., Li,C., Chen,Z.","College of Veterinary Medicine, Yangzhou University",China,2021-06-06,2022-09-05
OL625612,GenBank,NA,atypical porcine pestivirus,Pestivirus scrofae,AH22/2021,11194,partial,China,NA,Sus scrofa,lymph,"Xie,S., Pan,S., Li,C., Chen,Z.","College of Veterinary Medicine, Yangzhou University",China,2021-06-06,2022-09-05
OM201200,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/G123,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2018,2022-08-30
OM201201,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/G124,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2018,2022-08-30
OM201202,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/Y112,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2019,2022-08-30
OM201203,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/H013,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2018,2022-08-30
OM201204,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/S007,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2018,2022-08-30
OM201205,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/S009,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2018,2022-08-30
OM201206,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/S019,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2018,2022-08-30
OM201207,GenBank,NA,Classical swine fever virus,Pestivirus suis,CSFV/S001,11697,complete,China,NA,Sus scrofa,NA,"Huang,X., Wu,W., Tian,X., Hou,X., Cui,X., Xiao,Y., Jiao,Q., Zhou,P., Liu,L., Shi,W., Chen,L., Sun,Y., Yang,Y., Chen,J., Zhang,G., Liu,J., Holmes,E.C., Cai,X., An,T., Shi,M.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology",China,2018,2022-08-30
OK086026,GenBank,NA,Linda virus,Pestivirus L,NA,12568,complete,Austria,NA,Sus scrofa,NA,"Kiesler,A., Schwarz,L., Riedel,C., Hogler,S., Brunthaler,R., Dimmel,K., Auer,A., Zaruba,M., Motz,M., Seitz,K., Ladinig,A., Lamp,B., Rumenapf,T., Ruemenapf,T.","Institute of Virology, Department for Pathobiology, University of Veterinary Medicine Vienna",Austria,2021,2022-08-23
ON843279,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,lymph,12333,complete,China,NA,Pholidota,NA,"Shi,Y., Li,L., Zhou,J., Hua,Y., Zeng,Z., Yuan,Z., Chen,J.","Institute of Zoology, Guangdong Academy of Sciences, Animals endemic disease",China,2019-08,2022-07-25
OK564403,GenBank,NA,atypical porcine pestivirus,Pestivirus scrofae,AUT-2016_C,11564,complete,Austria,NA,Sus scrofa,NA,"Lamp,B.","Justus-Liebig-University Giessen, Institute of Virology",Germany,2016,2022-07-13
ON337882,GenBank,NA,Bovine viral diarrhea virus 1,Pestivirus bovis,NM2103,12275,complete,China,NA,Bos taurus,NA,"Hou,L.","Inner Mongolia Agricultural University, College of Veterinary Medicine",China,2021-03,2022-07-10
LC700403,GenBank,NA,atypical porcine pestivirus,Pestivirus scrofae,NA,11567,complete,Japan: Okinawa,NA,Sus scrofa,NA,"Ikeda,K., Miyazawa,K., Takagi,M., Tomochi,H., Ishii,K., Araki,M., Iwamaru,Y.","Tsukuba, Ibaraki 305-0856",Japan,2021-02-05,2022-07-02
ON684360,GenBank,NA,Dermacentor reticulatus pestivirus-like virus 1,Dermacentor reticulatus pestivirus-like virus 1,CT2,16232,complete,Croatia,NA,NA,NA,"Sameroff,S., Tokarz,R., Vucelja,M., Jain,K., Oleynik,A., Boljfetic,M., Bjedov,L., Yates,R.A., Margaletic,J., Oura,C.A.L., Lipkin,W.I., Cvetko Krajinovic,L., Markotic,A., Krajinovic,L.C.","Columbia University, Center for Infection and Immunity",USA,2012-06-01,2022-06-27
ON024090,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME1,12469,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024091,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME1,12132,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024092,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME1,12080,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024093,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME1,12243,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024094,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME1,12440,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024095,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME1,12342,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024096,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME2,12468,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024097,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME3,12482,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024098,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME3,12102,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024099,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME4,12504,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024100,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME5,12147,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024101,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME5,12485,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024102,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME6,12367,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024103,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME6,12082,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024104,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME7,12510,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024105,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME7,12457,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024106,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME7,12443,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024107,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME9,12329,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
ON024108,GenBank,NA,Pangolin pestivirus,Pangolin pestivirus,BIME9,12394,complete,China,NA,Pholidota,NA,"Cao,W.-C., Hu,Y.-L., Jiang,J.-F., Shi,W., Shi,M., Que,T.-C., Cui,X.-M., Ye,R.-Z., Xia,L.-Y., Hou,X., Zheng,J.-J., Jia,N., Xie,X.","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity",China,2018,2022-06-16
